Total_loss: 5.724272108078003	 Hash_loss: 5.4797937870025635	 Classsifier_loss: 0.9492479026317596	 Entropy_loss: -2.3014564990997313
Total_loss: 5.725257062911988	 Hash_loss: 5.480560398101806	 Classsifier_loss: 0.9496846437454224	 Entropy_loss: -2.301457166671753
Total_loss: 5.726380109786987	 Hash_loss: 5.481406927108765	 Classsifier_loss: 0.9502378046512604	 Entropy_loss: -2.301456260681152
Total_loss: 5.726204442977905	 Hash_loss: 5.4811601638793945	 Classsifier_loss: 0.9503804683685303	 Entropy_loss: -2.301459860801697
Total_loss: 5.728089618682861	 Hash_loss: 5.4824827194213865	 Classsifier_loss: 0.9515049874782562	 Entropy_loss: -2.3014563083648683
Total_loss: 5.727372932434082	 Hash_loss: 5.481905317306518	 Classsifier_loss: 0.9512267947196961	 Entropy_loss: -2.301457095146179
Total_loss: 5.725746726989746	 Hash_loss: 5.4810323238372805	 Classsifier_loss: 0.9497200906276703	 Entropy_loss: -2.3014567375183104
Total_loss: 5.72799973487854	 Hash_loss: 5.482242202758789	 Classsifier_loss: 0.9518073678016663	 Entropy_loss: -2.301460552215576
Total_loss: 5.723302221298217	 Hash_loss: 5.4792238712310795	 Classsifier_loss: 0.9484486818313599	 Entropy_loss: -2.3014604091644286
Total_loss: 5.726231575012207	 Hash_loss: 5.4813055992126465	 Classsifier_loss: 0.9501436650753021	 Entropy_loss: -2.301460123062134
Total_loss: 5.725480270385742	 Hash_loss: 5.480831003189087	 Classsifier_loss: 0.9495909750461579	 Entropy_loss: -2.301461696624756
Total_loss: 5.724481630325317	 Hash_loss: 5.479992628097534	 Classsifier_loss: 0.9492706537246705	 Entropy_loss: -2.3014623641967775
Total_loss: 5.723694658279419	 Hash_loss: 5.479681205749512	 Classsifier_loss: 0.948318213224411	 Entropy_loss: -2.3014575719833372
Total_loss: 5.725243949890137	 Hash_loss: 5.4810069561004635	 Classsifier_loss: 0.9487649261951446	 Entropy_loss: -2.301455283164978
Total_loss: 5.721313953399658	 Hash_loss: 5.4784692287445065	 Classsifier_loss: 0.9459807872772217	 Entropy_loss: -2.301456117630005
Total_loss: 5.724481725692749	 Hash_loss: 5.480707168579102	 Classsifier_loss: 0.947839891910553	 Entropy_loss: -2.3014532566070556
Total_loss: 5.723419284820556	 Hash_loss: 5.480084323883057	 Classsifier_loss: 0.9469605922698975	 Entropy_loss: -2.3014522075653074
Total_loss: 5.724339342117309	 Hash_loss: 5.480580615997314	 Classsifier_loss: 0.9478086352348327	 Entropy_loss: -2.301456022262573
Total_loss: 5.721757173538208	 Hash_loss: 5.478832149505616	 Classsifier_loss: 0.9461408793926239	 Entropy_loss: -2.3014538049697877
Total_loss: 5.723541355133056	 Hash_loss: 5.4800882816314695	 Classsifier_loss: 0.9471972763538361	 Entropy_loss: -2.3014553785324097
Total_loss: 5.7222918510437015	 Hash_loss: 5.4790421485900875	 Classsifier_loss: 0.9467896103858948	 Entropy_loss: -2.301452136039734
Total_loss: 5.722556161880493	 Hash_loss: 5.479414987564087	 Classsifier_loss: 0.9465726971626282	 Entropy_loss: -2.3014519691467283
Total_loss: 5.722400188446045	 Hash_loss: 5.479631662368774	 Classsifier_loss: 0.9458266913890838	 Entropy_loss: -2.301448035240173
Total_loss: 5.722556209564209	 Hash_loss: 5.479556274414063	 Classsifier_loss: 0.9462907016277313	 Entropy_loss: -2.301454710960388
Total_loss: 5.721640729904175	 Hash_loss: 5.479042339324951	 Classsifier_loss: 0.9454872667789459	 Entropy_loss: -2.3014522552490235
Total_loss: 5.722166252136231	 Hash_loss: 5.479641914367676	 Classsifier_loss: 0.9453382015228271	 Entropy_loss: -2.301447105407715
Total_loss: 5.7239062786102295	 Hash_loss: 5.4807219982147215	 Classsifier_loss: 0.9466586649417877	 Entropy_loss: -2.3014506578445433
Total_loss: 5.725012922286988	 Hash_loss: 5.481384038925171	 Classsifier_loss: 0.9475479423999786	 Entropy_loss: -2.301450562477112
Total_loss: 5.724985122680664	 Hash_loss: 5.481080865859985	 Classsifier_loss: 0.9480990946292878	 Entropy_loss: -2.3014526844024656
Total_loss: 5.726110553741455	 Hash_loss: 5.481540107727051	 Classsifier_loss: 0.9494315981864929	 Entropy_loss: -2.301453948020935
Total_loss: 5.726621675491333	 Hash_loss: 5.481923770904541	 Classsifier_loss: 0.9496865570545197	 Entropy_loss: -2.3014534950256347
Total_loss: 5.729194831848145	 Hash_loss: 5.483590412139892	 Classsifier_loss: 0.9514998972415925	 Entropy_loss: -2.3014548778533936
Total_loss: 5.725242948532104	 Hash_loss: 5.4811896800994875	 Classsifier_loss: 0.9483970284461976	 Entropy_loss: -2.301451873779297
Total_loss: 5.721906852722168	 Hash_loss: 5.479211091995239	 Classsifier_loss: 0.9456814587116241	 Entropy_loss: -2.3014498949050903
Total_loss: 5.724101305007935	 Hash_loss: 5.480497980117798	 Classsifier_loss: 0.9474972307682037	 Entropy_loss: -2.301452970504761
Total_loss: 5.724551010131836	 Hash_loss: 5.480856990814209	 Classsifier_loss: 0.9476776480674743	 Entropy_loss: -2.3014490365982057
Total_loss: 5.723362159729004	 Hash_loss: 5.480227327346801	 Classsifier_loss: 0.9465582251548768	 Entropy_loss: -2.301443076133728
Total_loss: 5.7235335350036625	 Hash_loss: 5.48022232055664	 Classsifier_loss: 0.9469128489494324	 Entropy_loss: -2.3014517545700075
Total_loss: 5.723577928543091	 Hash_loss: 5.480651187896728	 Classsifier_loss: 0.9461430609226227	 Entropy_loss: -2.3014478206634523
Total_loss: 5.722635221481323	 Hash_loss: 5.480087423324585	 Classsifier_loss: 0.9453857779502869	 Entropy_loss: -2.3014501333236694
Total_loss: 5.721676635742187	 Hash_loss: 5.479581260681153	 Classsifier_loss: 0.9444800734519958	 Entropy_loss: -2.3014470100402833
Total_loss: 5.723270034790039	 Hash_loss: 5.480584669113159	 Classsifier_loss: 0.9456594586372375	 Entropy_loss: -2.3014440059661867
Total_loss: 5.724103879928589	 Hash_loss: 5.481234884262085	 Classsifier_loss: 0.9460274815559387	 Entropy_loss: -2.3014480829238892
Total_loss: 5.723830604553223	 Hash_loss: 5.4809356212615965	 Classsifier_loss: 0.9460797131061554	 Entropy_loss: -2.3014485120773314
Total_loss: 5.7226283073425295	 Hash_loss: 5.480219602584839	 Classsifier_loss: 0.9451066851615906	 Entropy_loss: -2.3014460802078247
Total_loss: 5.722275114059448	 Hash_loss: 5.4801598072052	 Classsifier_loss: 0.9445200324058532	 Entropy_loss: -2.3014461517333986
Total_loss: 5.7218729019165036	 Hash_loss: 5.47979474067688	 Classsifier_loss: 0.9444464206695556	 Entropy_loss: -2.3014495372772217
Total_loss: 5.721721506118774	 Hash_loss: 5.479979467391968	 Classsifier_loss: 0.9437734365463257	 Entropy_loss: -2.301448035240173
